Issue Type,Patch Info,Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,PDFBOX-2909,NullPointerException when rendering shading with no function,Tilman Hausherr,Tilman Hausherr,Minor,Closed,Fixed,7/29/2015 16:44,1/18/2016 12:01,
Bug,,PDFBOX-2910,OutOfMemoryError by Rendern a PDF to Image,Unassigned,Thomas Meier,Major,Closed,Not A Problem,7/30/2015 8:39,3/17/2016 19:14,
Bug,,PDFBOX-2911,Merge does not close input streams,Andreas Lehmkühler,Tilman Hausherr,Major,Closed,Fixed,7/30/2015 15:06,1/18/2016 12:01,
Improvement,,PDFBOX-2912,PDFTextStripper: positionX < previous positionX case,Unassigned,Billow Gao,Major,Closed,Cannot Reproduce,7/31/2015 18:02,1/6/2016 17:40,
Bug,,PDFBOX-2913,DomXmpParser fails on property containing qualifier,Unassigned,Petras,Major,Open,Unresolved,8/3/2015 7:24,8/3/2015 7:34,
Bug,,PDFBOX-2914,java.lang.NegativeArraySizeException in org.apache.pdfbox.pdmodel.graphics.color.PDDeviceGray.createColorModel,Tilman Hausherr,Aleksander Blomskøld,Major,Closed,Fixed,8/3/2015 12:46,1/18/2016 12:01,
Bug,,PDFBOX-2915,PDPage.convertToImage special symbols,Unassigned,Gabriel Diaz,Major,Closed,Duplicate,8/4/2015 8:08,8/4/2015 16:25,
Bug,,PDFBOX-2916,ArrayIndexOutOfBoundsException in CmapSubtable.processSubtype6,Andreas Lehmkühler,adam brin,Major,Closed,Fixed,8/5/2015 19:56,1/18/2016 12:01,
Bug,,PDFBOX-2917,"PDF to Image, faint/dim Images",Unassigned,Samuil Goranov,Trivial,Open,Unresolved,8/5/2015 20:27,5/22/2017 14:18,
Improvement,,PDFBOX-2918,Allow to refresh an AcroForm field appearance,Unassigned,Maruan Sahyoun,Major,Closed,Fixed,8/6/2015 8:47,3/17/2016 19:06,
Bug,,PDFBOX-2919,org.apache.fontbox.cff.CFFParser.readEntry sometimes throws java.lang.IllegalArgumentException,Tilman Hausherr,V,Major,Closed,Fixed,8/6/2015 10:50,3/25/2017 18:13,
Bug,,PDFBOX-2920,IndexOutOfBounds Exception when loading large PDF,Unassigned,Brad Baker,Major,Open,Unresolved,8/6/2015 20:47,8/4/2016 16:16,
